id,finding_a,loc_a,finding_b,loc_b,label,notes
row_0016,"Hunger is described as having 'more than doubled' over the period, but the rate fell from 33% to 12% — it decreased, so it cannot have doubled.",A steep fall:7,"The 1970 rate is described as 'one-in-four ... about 33%', but one-in-four is 25%, not 33%.",A steep fall:4-5,,
row_0017,"The deficit is said to have decreased by '$41 billion (or 6 percent)', but $41 billion is about 2 percent of the ~$1.8 trillion deficit, not 6 percent.",Overview:5,"Outlays are said to have grown by '$375 billion', which exceeds the '$317 billion' revenue increase, directly contradicting the following sentence ('the increase in outlays was smaller than the increase in revenues') and the stated deficit decrease.",Receipts and outlays:11,,
row_0018,"replicas.min (5) is greater than replicas.max (3), violating the stated constraint min <= max.",replicas:11-12,"tls.enabled is false while environment is production, violating the constraint that TLS must be enabled in production.",tls.enabled:29,,
row_0019,"The loop `for i in range(1, n)` iterates one time too few, producing n-1 parts instead of n (the docstring shows `divide(2, ...)` must yield two parts).",src/partition.py:30,"The remainder is distributed with `i >= r` instead of `i <= r`, so the extra elements are added to the later parts rather than the earlier ones.",src/partition.py:32,,
row_0020,"The text says ~90% of adults are literate yet 'one in five' (20%) remain illiterate; 90% + 20% exceeds 100%, so the literate and illiterate shares are inconsistent.",The long reversal:6,90% literate and 20% illiterate cannot both be true (they sum to 110%).,The long reversal:6,,
row_0021,"A tenfold rise from 1% would be 10% of GDP, not 2%.",The rise of public spending:5-6,The stated growth multiple is far too high for 1%-to-2%.,The rise of public spending:5-6,,
row_0022,"The limit check in `allow` uses `>` instead of `>=`, so it admits one event beyond `max_events` per window.",src/window.py:16,"`from_config` passes constructor arguments in the wrong order, swapping `max_events` and `window_seconds`.",src/window.py:27,,
row_0023,Over-claim: one small test set does not license a universal generalization.,Discussion:22-23,The Discussion overreaches by asserting universal task generalization from a narrow evaluation.,Discussion:22-23,,
row_0024,"The smoking share is given as 'one in four — roughly 45%', but one in four is 25%, not 45%.",How many smoke:4,"If more than one-third of men smoke, then fewer than two-thirds do not, but the text says 'fewer than one-quarter do not'.",The gender gap:7-8,,
row_0025,"`cutoff` is computed with `+` instead of `-`, placing it in the future so every event is evicted and the limiter never throttles.",src/window.py:13,"`from_config` passes constructor arguments in the wrong order, swapping `max_events` and `window_seconds`.",src/window.py:27,,
row_0026,"The minimum replica count exceeds the maximum (5 > 3), which is invalid.",replicas:11-12,replicas.min and replicas.max are inverted; min should not be larger than max.,replicas:11-12,,
row_0027,"The input guard is `n < 0`, so `n == 0` is accepted despite the raised message ('n must be at least 1') and docstring requiring n >= 1; the correct guard is `n < 1`.",src/partition.py:16,"The guard should be `n < 1`; as written, `divide(0, seq)` slips through instead of raising.",src/partition.py:16,,
row_0028,"The web proxy targets FLASK_SERVER_ADDR=backend:8080, but the backend serves on FLASK_SERVER_PORT=9091, so the proxy points at the wrong port.",services.web.environment:7,"The proxy sends traffic to backend:8080, but the backend listens on 9091.",services.web.environment:7,,
row_0029,"grafana publishes host port 9090 (`9090:3000`), colliding with prometheus's host port 9090 (`9090:9090`); two services cannot bind the same host port.",services.grafana.ports:17,"The prometheus config directory is mounted at `/config`, but the command loads the config from `/etc/prometheus/prometheus.yml`, so the config file will not be found at the path the command expects.",services.prometheus.volumes:11,,
row_0030,"The SECRET_USERNAME env var requests key `user`, but the Secret defines keys `username` and `password` — there is no `user` key.",Pod...SECRET_USERNAME.secretKeyRef:22,"The SECRET_PASSWORD env var requests key `passwd`, but the Secret defines the key as `password`.",Pod...SECRET_PASSWORD.secretKeyRef:27,,
row_0031,"450 divided by 2 is about 225, so it is a 200-fold, not 20-fold, increase.",A surge in production:4-5,The stated multiple is about ten times too small.,A surge in production:4-5,,
row_0032,"The loop breaks when the remaining number is non-zero (`if number != 0`), so it stops after the first iteration; it should break once the number has been fully converted (`if number == 0`).",src/to_roman.py:34,"The break condition stops the conversion prematurely, as soon as any remainder remains.",src/to_roman.py:34,,
row_0033,"The rise from ~80 to >350 million tonnes is called 'more than a tenfold increase', but 350 divided by 80 is about 4.4 — more than fourfold, not tenfold.",A steep climb:4-6,"With Asia up about 15-fold and Europe roughly doubled, Asia grew about seven times as fast as Europe, but the text says 'about three times as fast'.",What and where:11-12,,
row_0034,"For odd numbers the step is `3 * n - 1` instead of `3 * n + 1`, using the wrong Collatz update for odd n.",src/collatz.py:19,"The input guard uses `n < 0`, so `n == 0` is accepted even though the sequence is only defined for positive integers (0 then loops forever).",src/collatz.py:12,,
row_0035,"The decline is stated as 'more than 2.5 billion fewer', but the excerpt's own figures give 2.3 billion (1990) minus about 800 million (2025), i.e. roughly 1.5 billion fewer.",The long-run decline:8,"The text says two-thirds (66%) live on less than $5 a day while only half (52%) live on less than $10 a day, which is impossible: everyone below $5 is also below $10, so the $10 share cannot be smaller than the $5 share.",Higher poverty lines:12,,
row_0036,"The recurrence subtracts (`fib[-1] - fib[-2]`) instead of adding, so it does not produce Fibonacci numbers.",src/fib.py:20,"The next term must be the sum, not the difference, of the last two.",src/fib.py:20,,
row_0037,"nginx-proxy.depends_on names service `flask`, but the application service is named `flask-app`; there is no service `flask`.",services.nginx-proxy.depends_on:12,"depends_on should reference `flask-app`, not `flask`.",services.nginx-proxy.depends_on:12,,
row_0038,"matchLabels (run: web) does not match the template labels (run: my-nginx), so the Deployment is invalid.",Deployment.spec.selector.matchLabels:8,Selector/template label mismatch inside the Deployment.,Deployment.spec.selector.matchLabels:8,,
row_0039,"Each symbol is repeated `factor + 1` times instead of `factor`, appending one extra copy of every Roman symbol.",src/to_roman.py:33,"The loop breaks when the remaining number is non-zero (`if number != 0`), so it stops after the first iteration; it should break once the number has been fully converted (`if number == 0`).",src/to_roman.py:34,,
row_0040,"The 1% with an alcohol use disorder is described as 'about one in ten', but 1% is one in a hundred, not one in ten.",A common disorder:4,"22.1 litres per year is said to work out to 'roughly 600 millilitres a day', but 22.1 litres over 365 days is about 60 millilitres a day.",A historical peak:12-13,,
row_0041,The bit test `number % 2 == 0` counts the zero bits rather than the set (1) bits; it should be `== 1`.,src/popcount.py:18,"The shift `number >>= 2` consumes two bits per iteration instead of one, so half of the bits are never examined.",src/popcount.py:20,,
row_0042,"logstash.depends_on names service `search`, but no such service is defined (the search engine service is named `elasticsearch`).",services.logstash.depends_on:33,"kibana.depends_on names service `store`, but no such service is defined (it should be `elasticsearch`).",services.kibana.depends_on:43,,
row_0043,The fraction and the percentage disagree: one-in-four is not about 33%.,A steep fall:4-5,One-in-four' should be 'one-in-three' to match the 33% figure.,A steep fall:4-5,,
row_0044,"The 'only' framing implies fewer deaths, but one in 5 exceeds one in 10.",Before modern medicine:11-12,One in 5 cannot be the lower rate when compared with every tenth mother.,Before modern medicine:11-12,,
row_0045,"The base is doubled (`base += base`) instead of squared (`base *= base`), so the repeated-squaring step is wrong.",src/binexp.py:20,"The exponent is shifted right by 2 (`exponent >>= 2`) instead of 1, so it consumes two bits per iteration and skips half of them.",src/binexp.py:21,,
row_0046,"The digits are extracted with `divmod(decimal, 8)` instead of `divmod(decimal, 16)`, so it converts to base 8 rather than hexadecimal.",src/dec2hex.py:26,"For negative inputs the value is multiplied by 1 (`decimal *= 1`) rather than -1, so it is never made positive and the while loop produces no digits.",src/dec2hex.py:24,,
row_0047,"`median([1, 3, 5])` returns 1 instead of the documented 3 because the middle index is shifted down by one.",src/stats.py:21,The middle element for odd n is selected one slot too early.,src/stats.py:21,,
row_0048,"The rise from 6 to more than 20 billion tonnes is called 'almost doubled', but 20 is more than three times 6, not roughly double.",A steep climb:4-5,Almost doubled' understates the 6-to-20 increase (which is over 3x).,A steep climb:4-5,,
row_0049,"154 million over 50 years is roughly 8,000 a day, not 80,000.",The lives saved:10-11,"154,000,000 / (50 x 365) is around 8,400 per day, not 80,000.",The lives saved:10-11,,
row_0050,"The decline is stated as 'more than 2.5 billion fewer', but the excerpt's own figures give 2.3 billion (1990) minus about 800 million (2025), i.e. roughly 1.5 billion fewer.",The long-run decline:8,"2.3 billion in 1990 minus ~800 million in 2025 is about 1.5 billion, not 2.5 billion.",The long-run decline:8,,
row_0051,"The US ~400 billion tonnes is called 'almost one-half' of the ~1,600 billion tonne historical total, but 400 / 1,600 is one-quarter, not one-half.",Who is responsible:8-9,"400 out of 1,600 is a quarter, not a half.",Who is responsible:8-9,,
row_0052,"More than a third smoking leaves nearly two-thirds not smoking, not fewer than a quarter.",The gender gap:7-8,Fewer than one-quarter do not' would imply more than three-quarters smoke.,The gender gap:7-8,,
row_0053,"The backend expects POSTGRES_DB=appdb, but the db service creates the database `example` (POSTGRES_DB=example), so the app targets a database that does not exist.",services.backend.environment:7,Database name is inconsistent between the backend and the db service.,services.backend.environment:7,,
row_0054,"The share without renewables is given as 'the remaining two-sevenths', but if one-seventh is renewable the remainder must be six-sevenths, not two-sevenths.",A small but growing share:4-5,"The renewable share of electricity is given as 'almost one-third, about 60%', but one-third is about 33%, not 60%.",A small but growing share:6-7,,
row_0055,The extreme-poverty threshold is given inconsistently: 'less than $2 a day' in one sentence but the 'International Poverty Line of $3 per day' in the next.,The long-run decline:7,The passage names the poverty line as both $2 a day and $3 per day.,The long-run decline:7,,
row_0056,db mounts a secret `db-secret` that is never declared in the top-level secrets.,services.db.secrets:14,Dangling secret reference in the db service (note POSTGRES_PASSWORD_FILE still points at db-password).,services.db.secrets:14,,
row_0057,"The SECRET_USERNAME env var's secretKeyRef names Secret `app-secret`, but the Secret defined in this manifest is named `test-secret`.",Pod...SECRET_USERNAME.secretKeyRef:21,"The referenced Secret name should be `test-secret`, not `app-secret`.",Pod...SECRET_USERNAME.secretKeyRef:21,,
row_0058,"`utilization` divides by `self.max_events` with no guard, raising ZeroDivisionError when `max_events == 0`.",src/window.py:23,Missing zero check before the division in `utilization`.,src/window.py:23,,
row_0059,"One-in-four is 25%, which does not match the stated 33%.",A steep fall:4-5,One-in-four' should be 'one-in-three' to match the 33% figure.,A steep fall:4-5,,
row_0060,"The safe-water share is given as 'almost three-quarters — around 64%', but three-quarters is 75%, not 64%.",The global picture:4,"The gap between >50 and <0.05 per 100,000 is called 'more than a millionfold', but 50 / 0.05 is about 1,000 — a thousandfold, not a millionfold.",Stark inequalities:10-11,,
row_0061,"The proxy depends on `api`, but no service `api` exists (it should be `backend`).",services.proxy.depends_on:39,Dangling dependency: proxy waits on a service `api` that the file never defines.,services.proxy.depends_on:39,,
row_0062,"grafana publishes host port 9090 (`9090:3000`), colliding with prometheus's host port 9090 (`9090:9090`); two services cannot bind the same host port.",services.grafana.ports:17,Port collision: grafana's `9090:3000` reuses host port 9090 already taken by prometheus.,services.grafana.ports:17,,
row_0063,"The web proxy targets FLASK_SERVER_ADDR=backend:8080, but the backend serves on FLASK_SERVER_PORT=9091, so the proxy points at the wrong port.",services.web.environment:7,"backend.depends_on names service `db`, but the database service is named `mongo`; there is no service `db`.",services.backend.depends_on:23,,
row_0064,"The share using safe sanitation is given as 'just over half — around 74%', but just over half is about 50%, not 74%.",The global picture:4,"The share without safe sanitation is given as 'nearly one in two, about 26%', but one in two is 50%, not 26%.",The global picture:5,,
row_0065,`max_num = 0` should be `max_num = nums[0]`; 0 is not a valid starting maximum.,src/findmax.py:16,"find_max([-3,-2,-1]) would return 0 instead of -1.",src/findmax.py:16,,
row_0066,"If more than a third of US adults were obese, then a bit under two-thirds were not, but the text says 'fewer than one-quarter were not' obese.",A growing share:4-5,"If over 60% of US adults were overweight or obese, then under 40% were at a healthy weight or below, but the text says 'over 40%'.",A growing share:5-6,,
row_0067,"With Asia up about 15-fold and Europe roughly doubled, Asia grew about seven times as fast as Europe, but the text says 'about three times as fast'.",What and where:11-12,"Dividing a 15-fold rise by a twofold rise gives about 7.5, not 3.",What and where:11-12,,
row_0068,"The fall from 33% (1970) to 12% (2015) is called 'a decline of 31 percentage points', but 33 - 12 = 21 percentage points.",A steep fall:6,"The 1970 rate is described as 'one-in-four ... about 33%', but one-in-four is 25%, not 33%.",A steep fall:4-5,,
row_0069,"The recurrence subtracts (`fib[-1] - fib[-2]`) instead of adding, so it does not produce Fibonacci numbers.",src/fib.py:20,"For n == 0 the function returns `[]`, but the first 0-indexed Fibonacci number is 0, so it should return `[0]`.",src/fib.py:17,,
row_0070,"Russia's over 800 million hectares is called 'about two-fifths of the global total', but 800 million is one-fifth of the world's roughly 4 billion hectares, not two-fifths.",Where the forests are:9-10,The stated share is double what the hectare figures imply.,Where the forests are:9-10,,
row_0071,"WORDPRESS_DB_NAME is `wp`, but the database created by the db service is `wordpress` (MYSQL_DATABASE=wordpress), so WordPress targets a database that does not exist.",services.wordpress.environment:28,"WORDPRESS_DB_PASSWORD is `secret`, but the db user's password is `wordpress` (MYSQL_PASSWORD=wordpress), so authentication will fail.",services.wordpress.environment:27,,
row_0072,"The ~36 million Great Leap Forward deaths are called 'more than two-thirds' of the century's ~100 million total, but 36 out of 100 is about a third, not more than two-thirds.",The scale of the toll:4-6,"Children are said to account for 'between one half and one-quarter' of famine deaths, but one-quarter is less than one half, so the range is stated backwards (the upper bound is below the lower bound).",Who dies:10-11,,
row_0073,"In 1960 the rural population is said to be 'more than 60%', which leaves under 40% urban, but the text says 'over 40% in towns and cities'.",Crossing the halfway point:6-7,"The breakdown gives 45% cities, 35% towns, and 40% villages, which sums to 120% rather than 100%.",A finer breakdown:10-11,,
row_0074,`res += n // 10` should be `res += n % 10`; it accumulates the wrong quantity.,src/digits.py:19,"The last digit is obtained with `% 10`, not `// 10`.",src/digits.py:19,,
row_0075,"backend.secrets references `app-secret`, which is not defined under the top-level `secrets` key (only `db-password` exists there).",services.backend.secrets:32,The backend mounts a secret `app-secret` that is never declared in the top-level secrets section.,services.backend.secrets:32,,
row_0076,"If more than a third of US adults were obese, then a bit under two-thirds were not, but the text says 'fewer than one-quarter were not' obese.",A growing share:4-5,"More than a third obese implies almost two-thirds not obese, not fewer than a quarter.",A growing share:4-5,,
row_0077,"Each symbol is repeated `factor + 1` times instead of `factor`, appending one extra copy of every Roman symbol.",src/to_roman.py:33,`roman * (factor + 1)` should be `roman * factor`; it adds an extra symbol each step.,src/to_roman.py:33,,
row_0078,"Outlays are said to have grown by '$375 billion', which exceeds the '$317 billion' revenue increase, directly contradicting the following sentence ('the increase in outlays was smaller than the increase in revenues') and the stated deficit decrease.",Receipts and outlays:11,The outlay-growth figure contradicts both the 'smaller than revenues' statement and the reported deficit decline (the real value is $275 billion).,Receipts and outlays:11,,
row_0079,"The base is doubled (`base += base`) instead of squared (`base *= base`), so the repeated-squaring step is wrong.",src/binexp.py:20,Adding the base to itself doubles it rather than squaring it.,src/binexp.py:20,,
row_0080,"The limit check in `allow` uses `>` instead of `>=`, so it admits one event beyond `max_events` per window.",src/window.py:16,"`utilization` divides by `self.max_events` with no guard, raising ZeroDivisionError when `max_events == 0`.",src/window.py:23,,
row_0081,"The swap `lst[i - 1], lst[i] = lst[i - 1], lst[i]` assigns each element to itself, so it never actually exchanges the out-of-order pair.",src/gnome.py:19,"The scan index starts at `0` instead of `1`, so the first comparison reads `lst[i - 1]` as `lst[-1]`, comparing the last element with the first.",src/gnome.py:14,,
row_0082,"The input guard is `n < 0`, so `n == 0` is accepted despite the raised message ('n must be at least 1') and docstring requiring n >= 1; the correct guard is `n < 1`.",src/partition.py:16,"The loop `for i in range(1, n)` iterates one time too few, producing n-1 parts instead of n (the docstring shows `divide(2, ...)` must yield two parts).",src/partition.py:30,,
row_0083,"backend.secrets references `db-secret`, which is not defined under the top-level `secrets` key (only `db-password` exists there).",services.backend.secrets:7,Dangling secret reference in the backend service.,services.backend.secrets:7,,
row_0084,The named volume `metrics_data` is referenced but never defined at the top level (only `prom_data` is).,services.prometheus.volumes:12,Undefined named volume: `metrics_data` should be `prom_data`.,services.prometheus.volumes:12,,
row_0085,"One in five is 20%, so 'around 40%' is wrong.",Coverage today:5,The fraction (one in five) and the percentage (40%) disagree.,Coverage today:5,,
row_0086,A one-element list is rejected while an empty list slips through.,src/findmax.py:14,find_max([5]) raises instead of returning 5.,src/findmax.py:14,,
row_0087,"The decline is stated as 'more than 2.5 billion fewer', but the excerpt's own figures give 2.3 billion (1990) minus about 800 million (2025), i.e. roughly 1.5 billion fewer.",The long-run decline:8,The extreme-poverty threshold is given inconsistently: 'less than $2 a day' in one sentence but the 'International Poverty Line of $3 per day' in the next.,The long-run decline:7,,
row_0088,"The midpoint comparison uses `x <= a[mid]`; a rightmost insertion point (per the docstring) requires `x < a[mid]`, so equal keys are routed into the left subrange rather than the right (bisect_left instead of bisect_right).",src/search.py:22,"The initial upper bound is `len(a) - 1`, so the last element (index len(a)-1) is excluded from the searched range; the default should be `len(a)`.",src/search.py:19,,
row_0089,"The initial upper bound is `len(a) - 1`, so the last element (index len(a)-1) is excluded from the searched range; the default should be `len(a)`.",src/search.py:19,"The else branch sets `lo = mid` instead of `lo = mid + 1`, so when `x` belongs to the right half the loop cannot make progress and never terminates.",src/search.py:25,,
row_0090,"The Pod is in namespace `production`, but the ConfigMap it references is in namespace `default`; ConfigMaps are namespace-scoped, so the reference cannot resolve across namespaces.",Pod.metadata.namespace:14,The Pod (namespace production) cannot reference a ConfigMap in namespace default.,Pod.metadata.namespace:14,,
row_0091,"The inner scan `range(i + 1, length - 1)` stops one element early, so the last element is never considered when searching for the minimum.",src/selsort.py:15,"The minimum index is initialised to `0` instead of the current position `i`, so for later passes it can select an already-sorted element and swap it into place, corrupting the result.",src/selsort.py:14,,
row_0092,The Pod (namespace production) cannot reference a ConfigMap in namespace default.,Pod.metadata.namespace:14,Namespace mismatch: the ConfigMap is in `default` but the Pod is in `production`.,Pod.metadata.namespace:14,,
row_0093,"The renewable share of primary energy is given as 'one-seventh — roughly 34%', but one-seventh is about 14%, not 34%.",A small but growing share:4,"One-seventh is roughly 14%, so 'roughly 34%' does not match.",A small but growing share:4,,
row_0094,"The outer loop `range(1, len(collection) - 1)` stops before the last element, so the final element is never inserted and the list is left partially unsorted.",src/insort.py:12,"The shift `collection[insert_index] = collection[insert_index]` assigns the element to itself instead of copying the previous element down (`collection[insert_index - 1]`), so nothing is shifted and values are overwritten.",src/insort.py:15,,
row_0095,"frontend.networks references `frontend-net`, which is not declared under the top-level `networks` key (only `public` and `private` exist).",services.frontend.networks:57,"frontend publishes host port 80 (`80:3000`), colliding with backend's host port 80 (`80:80`); two services cannot bind the same host port.",services.frontend.ports:52,,
row_0096,"`abs(n)` is computed but its result is discarded (not assigned back to `n`), so negative inputs are never made positive and the loop returns 0 for them.",src/digits.py:16,Negative numbers are not normalized because the `abs(n)` result is not stored.,src/digits.py:16,,
row_0097,"It says more than 95% of youth have basic literacy, 'meaning fewer than 15% cannot read', but the complement of 95% is 5%, not 15%.",Recent progress:12,"If over 95% are literate, then under 5% cannot read, not under 15%.",Recent progress:12,,
row_0098,"New digits are appended (`hexadecimal + values[remainder]`) instead of prepended (`values[remainder] + hexadecimal`), so the hex digits come out in reverse order.",src/dec2hex.py:27,"For negative inputs the value is multiplied by 1 (`decimal *= 1`) rather than -1, so it is never made positive and the while loop produces no digits.",src/dec2hex.py:24,,
row_0099,"The configMapKeyRef requests key `SPECIAL_MODE`, but the ConfigMap only defines keys `SPECIAL_LEVEL` and `SPECIAL_TYPE`.",Pod.spec.containers.env.configMapKeyRef:25,"The Pod is in namespace `production`, but the ConfigMap it references is in namespace `default`; ConfigMaps are namespace-scoped, so the reference cannot resolve across namespaces.",Pod.metadata.namespace:14,,
row_0100,"`range(1, number)` should be `range(1, number + 1)`; the last factor is dropped.",src/factorial.py:15,"The largest factor, `number` itself, is never multiplied in because the loop's upper bound stops one short.",src/factorial.py:15,,
row_0101,"logstash.depends_on names service `search`, but no such service is defined (the search engine service is named `elasticsearch`).",services.logstash.depends_on:33,"logstash depends on `search`, which is not a defined service (elasticsearch, logstash, kibana).",services.logstash.depends_on:33,,
row_0102,"`divmod(decimal, 8)` should use 16; hexadecimal is base 16.",src/dec2hex.py:26,"The radix is wrong (8 instead of 16), so decimal_to_hexadecimal(255) is not '0xff'.",src/dec2hex.py:26,,
row_0103,"The share without safe water is given as 'one in four, roughly 46%', but one in four is 25%, not 46%.",The global picture:5,46% is far more than a quarter.,The global picture:5,,
row_0104,Route /refund points at an undefined service `refunds-core`.,routes[1].backend:26,Dangling backend reference: the /refund route names a service that does not exist.,routes[1].backend:26,,
row_0105,"If more than a third of US adults were obese, then a bit under two-thirds were not, but the text says 'fewer than one-quarter were not' obese.",A growing share:4-5,"Fewer than one-quarter not obese' would mean over three-quarters obese, contradicting 'more than a third'.",A growing share:4-5,,
row_0106,WORDPRESS_DB_PASSWORD (secret) does not match MYSQL_PASSWORD (wordpress).,services.wordpress.environment:27,"App and database passwords are inconsistent, so the DB login will be rejected.",services.wordpress.environment:27,,
row_0107,`len(nums) == 1` should be `len(nums) == 0`; the guard is meant to catch empty input.,src/findmax.py:14,find_max([5]) raises instead of returning 5.,src/findmax.py:14,,
row_0108,The fraction (two-fifths) and the percentage (20%) disagree.,A global problem:9,"20% is one-fifth, not two-fifths.",A global problem:9,,
row_0109,The app password (secret) does not match the db password (nextcloud).,services.nc.environment:6,Nextcloud and the database are configured with different passwords.,services.nc.environment:6,,
row_0110,"The text says our results 'corroborate' Chen et al. (2024), but Chen reported retrieval *reduced* accuracy while RAG-Sum shows retrieval *improves* it - so the results contradict, not corroborate, that finding.",Results:17-19,"Hyperparameters were tuned on the test set, a train/test leak that invalidates the reported test results.",Dataset and Training:12-13,,
row_0111,"frontend.depends_on names service `api`, but no such service is defined (the application service is named `backend`).",services.frontend.depends_on:16,"depends_on should reference `backend`, not `api`.",services.frontend.depends_on:16,,
row_0112,"`== 0` should be `== 1`; the function must count 1-bits, not 0-bits.",src/popcount.py:18,count_set_bits(25) would not be 3 because it tallies zero bits.,src/popcount.py:18,,
row_0113,"proxy.networks references `frontend`, which is not declared under the top-level `networks` key (only `backnet` and `frontnet` exist).",services.proxy.networks:49,"backend publishes host port 80 (`80:8000`), colliding with proxy's host port 80 (`80:80`); two services cannot bind the same host port.",services.backend.ports:34,,
row_0114,"backend.secrets references `db-secret`, which is not defined under the top-level `secrets` key (only `db-password` exists there).",services.backend.secrets:7,"proxy.depends_on names service `api`, which is not defined (the application service is named `backend`).",services.proxy.depends_on:39,,
row_0115,The Discussion claims RAG-Sum 'will generalize to any clinical documentation task' from a single 200-note test set - an unsupported over-generalization.,Discussion:22-23,"Hyperparameters were tuned on the test set, a train/test leak that invalidates the reported test results.",Dataset and Training:12-13,,
row_0116,"The web proxy targets FLASK_SERVER_ADDR=backend:8080, but the backend serves on FLASK_SERVER_PORT=9091, so the proxy points at the wrong port.",services.web.environment:7,"web.depends_on names service `api`, but no such service is defined (the application service is named `backend`).",services.web.depends_on:12,,
row_0117,"The deficit is said to fall from 6.3 percent to 5.9 percent of GDP, 'a decline of 0.7 percentage points', but 6.3 - 5.9 = 0.4 percentage points.",Relative to the economy:19-20,"6.3 minus 5.9 is 0.4, not the stated 0.7 percentage points.",Relative to the economy:19-20,,
row_0118,"New digits are appended (`hexadecimal + values[remainder]`) instead of prepended (`values[remainder] + hexadecimal`), so the hex digits come out in reverse order.",src/dec2hex.py:27,The concatenation order is reversed; it should be `values[remainder] + hexadecimal`.,src/dec2hex.py:27,,
row_0119,"The global figure two hundred years ago is said to be 'less than half of today's' (today's is just over 70), yet it is then given as 'around 45 years', which is well over half of 70.",A long climb:5-6,"With Japan close to 85 and Nigeria thirty years lower, Nigeria should be around 55, but the text puts Nigeria at 'around 65 years'.",Still deeply unequal:10-11,,
row_0120,`number < -1` should be `number < 0`; -1 slips past the guard.,src/factorial.py:12,factorial(-1) returns a value instead of raising.,src/factorial.py:12,,
row_0121,"`utilization` divides by `self.max_events` with no guard, raising ZeroDivisionError when `max_events == 0`.",src/window.py:23,"`from_config` passes constructor arguments in the wrong order, swapping `max_events` and `window_seconds`.",src/window.py:27,,
row_0122,"French 15-year-olds' life expectancy is said to rise from 58 to 83, 'an increase of 35 years', but 83 - 58 = 25 years.",Not only about infants:11-12,"83 minus 58 is 25, not the stated 35-year increase.",Not only about infants:11-12,,
