row_id,text_a,location_a,text_b,location_b,human_same (Y/N),notes
rb0eeda0cdf,"The WORDPRESS_DB_HOST is set to 'database' but the database service is named 'db', causing connection failure.",wordpress:22,"WORDPRESS_DB_HOST is set to `database`, but the database service is named `db`; there is no service or host `database`.",services.wordpress.environment:25-25,,
rc7e8bdd726,"The minimum replica count (5) exceeds the maximum replica count (3), violating the constraint that replicas.min must be ≤ replicas.max.",replicas:12-13,"replicas.min (5) is greater than replicas.max (3), violating the stated constraint min <= max.",replicas:11-12,,
r2a196e1adc,Missing `version` field at the top of the Compose file.,,Missing `version` field at the top of the Compose file.,,,
r0b003e92ca,"The function as written cannot produce the expected outputs `'III'`, `'CLIV'`, or `'MIX'` due to the cumulative mistakes.",,"The divmod arguments are swapped: `divmod(arabic, number)` divides the table value by the running number, but it must divide the number by the value (`divmod(number, arabic)`).",src/to_roman.py:32-32,,
r7d25abf27b,"The phrase 'around half — 52%' is internally inconsistent: 'around half' implies roughly 50%, but 52% is a precise value that clearly exceeds half.",Higher poverty lines,"The phrase 'around half — 52%' is internally inconsistent: 'around half' implies roughly 50%, but 52% is a precise value that clearly exceeds half.",Higher poverty lines,,
rc86614a0a9,Russia's forest area fraction is misstated as 'about two-fifths' (40%).,Where the forests are,"Russia's over 800 million hectares is called 'about two-fifths of the global total', but 800 million is one-fifth of the world's roughly 4 billion hectares, not two-fifths.",Where the forests are:9-10,,
rcfd6899604,"The increase in life expectancy for 15-year-olds in France from 58 to 83 years is stated as 35 years, but the correct increase is 25 years.",Not only about infants:11-12,"French 15-year-olds' life expectancy is said to rise from 58 to 83, 'an increase of 35 years', but 83 - 58 = 25 years.",Not only about infants:11-12,,
rc736c97d24,"The text states Brazil has over 800 million hectares of forest, but widely accepted data put Brazil's forest area at roughly 500 million hectares.",Where the forests are,"Russia is stated to hold the largest share at over 800 million hectares, yet Brazil (the only OTHER country above 10%) is also given 'over 800 million hectares', which would tie or exceed the country said to be largest.",Where the forests are:11-12,,
r85b99bd7a0,"The depends_on directive references a service named 'search', but no such service is defined in the services block.",logstash:17,"logstash.depends_on names service `search`, but no such service is defined (the search engine service is named `elasticsearch`).",services.logstash.depends_on:33-33,,
r9ca13390cd,"The text claims 'roughly 40% use safe sanitation, leaving about four in five without it', but if 40% use then 60% do not, not 80%.",The poorest countries,"The poorest-country coverage is given as 'one in five — roughly 40%', but one in five is 20%, not 40%.",The poorest countries:9-9,,
rffb055017d,Backend service cannot communicate with the 'mongo' service due to network mismatch.,backend:23-32,Backend service cannot communicate with the 'mongo' service due to network mismatch.,backend:23-32,,
r31e21355b1,"Healthcheck uses port 8000 but application listens on port 5000, causing healthcheck to always fail.",services.flask-app.healthcheck.test,"The flask-app runs gunicorn bound to 0.0.0.0:5000, but the service publishes port 8000 and its healthcheck probes 8000, so nothing is actually served on the exposed port.",services.flask-app.command:29-29,,
r949965e870,Missing input range validation for integers in the range 1–3999 as specified in the docstring.,src/to_roman.py:20-20,"The loop breaks when the remaining number is non-zero (`if number != 0`), so it stops after the first iteration; it should break once the number has been fully converted (`if number == 0`).",src/to_roman.py:34-34,,
r983ed89f3f,The claim that about four in five (80%) lack access is inconsistent with the stated usage rate of roughly 40% (which would imply about 60% lack access).,The poorest countries,"The poorest-country coverage is given as 'one in five — roughly 40%', but one in five is 20%, not 40%.",The poorest countries:9-9,,
r2844edf2e4,The ConfigMap special-config is defined but never referenced by any resource in the artifact.,ConfigMap special-config definition:1-7,The artifact includes a ConfigMap special-config that is never referenced by any resource in the artifact.,special-config (ConfigMap),,
r642c14383e,"Boolean values pass the isinstance(n, int) check because bool is a subclass of int, leading to unintended behavior.",src/collatz.py:12-12,"For odd numbers the step is `3 * n - 1` instead of `3 * n + 1`, using the wrong Collatz update for odd n.",src/collatz.py:19-19,,
r7a76e016c7,"The Pod references a Secret named 'app-secret' that is not defined in the artifact, causing Pod failure at runtime.",Pod YAML:22-25,The Pod's environment variable `SECRET_USERNAME` references a Secret named `app-secret` that does not exist in the artifact.,Pod,,
ra5b31a5070,"The frontend and backend services are on different networks (frontend on frontend-net, backend on public/private), so the frontend cannot reach the backend despite the depends_on directive.",,"backend.depends_on names `database`, but no service by that name is defined (the database service is named `db`).",services.backend.depends_on:30-30,,
rc3757dab72,Arithmetic contradiction: the literacy gain is miscalculated as 70 percentage points when it should be 80.,The long reversal,Arithmetic contradiction: the literacy gain is miscalculated as 70 percentage points when it should be 80.,The long reversal,,
r984a2ea935,"The docstring examples are inconsistent with the actual code behaviour, as the code does not produce the expected sorted outputs.",src/selsort.py:7-10,"The docstring examples are inconsistent with the actual code behaviour, as the code does not produce the expected sorted outputs.",src/selsort.py:7-10,,
rf66ae6deaf,The database connection credentials and database name in the `gitea` service do not match the ones configured in the `db` service.,services.gitea.environment:5-7,"DB_USER is `admin`, but the Postgres role created by the db service is `gitea` (POSTGRES_USER=gitea), so the login role does not exist.",services.gitea.environment:8-8,,
r3c8aaaca87,The word 'only' is used misleadingly to describe a higher mortality rate (1 in 5) compared to a lower rate (1 in 10).,Before modern medicine,"The second clinic is described with 'only one in 5' died versus 'every tenth' in the first, but one in 5 (20%) is higher than one in 10 (10%), so 'only' is contradictory.",Before modern medicine:11-12,,
r0a45293067,"The nginx configuration volume mounts to /tmp/default.conf but the nginx image expects configs in /etc/nginx/conf.d/, so it will not be used unless the custom start script copies it.",nginx-proxy,"The nginx configuration volume mounts to /tmp/default.conf but the nginx image expects configs in /etc/nginx/conf.d/, so it will not be used unless the custom start script copies it.",nginx-proxy,,
r118e2df077,"The `proxy` service depends on `api`, which does not exist (same as Issue 3). This will prevent the stack from starting.",services.proxy.depends_on,"proxy.depends_on names service `api`, which is not defined (the application service is named `backend`).",services.proxy.depends_on:39-39,,
rfb9184ff38,"Inner loop stops too early — range(i+1, length-1) excludes the last element",src/selsort.py:15-15,"The inner scan `range(i + 1, length - 1)` stops one element early, so the last element is never considered when searching for the minimum.",src/selsort.py:15-15,,
r5bac469401,"Backend and database are on different custom networks, preventing communication.",backend service and db service:7-18,"Backend and db services are on separate, unconnected networks.",services.backend.networks and services.db.networks:7-18,,
ra4c40840c7,"Docstring examples are inconsistent with actual behavior because the implementation produces infinite loops for those inputs, not the documented outputs.",src/search.py:11-14,"Docstring examples are inconsistent with actual behavior because the implementation produces infinite loops for those inputs, not the documented outputs.",src/search.py:11-14,,
r1e3c79a2f2,"Division by zero when the iterable is empty; `divmod(n, 0)` raises a `ZeroDivisionError`.",src/partition.py:26-26,"The arguments to `divmod` are swapped: `divmod(n, len(seq))` should be `divmod(len(seq), n)`, so q and r are computed from the wrong operands.",src/partition.py:26-26,,
rb1324ef491,"The function name and docstring describe rightmost insertion, but the code implements leftmost insertion, creating a contradiction.",src/search.py:4-9,"The midpoint comparison uses `x <= a[mid]`; a rightmost insertion point (per the docstring) requires `x < a[mid]`, so equal keys are routed into the left subrange rather than the right (bisect_left instead of bisect_right).",src/search.py:22-22,,
r3e23bae8d8,The Compose file begins with 'services:' without a 'version' declaration.,,"kibana.networks references `elk`, which is not declared under the top-level `networks` key (only `elastic` exists).",services.kibana.networks:45-45,,
r870199647f,"Backend and mongo are on different, disconnected networks.",services.backend.networks:17-18,"backend.networks references `mongo-net`, which is not declared under the top-level `networks` key (only `react-express` and `express-mongo` exist).",services.backend.networks:28-28,,
rab592a68ec,"The Pod's SECRET_USERNAME environment variable references a secretKeyRef with name 'app-secret', but no Secret named 'app-secret' is defined.",Pod:21-21,"The Pod's SECRET_USERNAME environment variable references a secretKeyRef with name 'app-secret', but no Secret named 'app-secret' is defined.",Pod:21-21,,
r842e597aa9,"Early-exit logic is broken because swapped flag is set based on reversed comparison - swapped becomes True when a correct pair is found, early exit not working correctly.",src/bubble.py:19-20,"The swap assigns each element to itself (`collection[j], collection[j + 1] = collection[j], collection[j + 1]`), so it is a no-op and never actually exchanges the two elements.",src/bubble.py:18-18,,
r8ddc852df5,The statement 'No other country comes close' contradicts the fact that Brazil has the same stated area as Russia.,Where the forests are,"Russia is stated to hold the largest share at over 800 million hectares, yet Brazil (the only OTHER country above 10%) is also given 'over 800 million hectares', which would tie or exceed the country said to be largest.",Where the forests are:11-12,,
r4ad0034107,lo = mid (instead of lo = mid + 1) causes infinite loop when lo and hi are adjacent.,src/search.py:25-25,"The else branch sets `lo = mid` instead of `lo = mid + 1`, so when `x` belongs to the right half the loop cannot make progress and never terminates.",src/search.py:25-25,,
r407ae8731d,Documentation examples incorrect: the docstring shows expected outputs that the current implementation does not produce due to the bugs.,src/dec2hex.py:12-17,"For negative inputs the value is multiplied by 1 (`decimal *= 1`) rather than -1, so it is never made positive and the while loop produces no digits.",src/dec2hex.py:24-24,,
r3280c25c88,"The arithmetic linking Japan’s life expectancy (close to 85 years) to Nigeria’s (30 years lower) yields 55 years, not the stated 65 years.",Still deeply unequal,"With Japan close to 85 and Nigeria thirty years lower, Nigeria should be around 55, but the text puts Nigeria at 'around 65 years'.",Still deeply unequal:10-11,,
r72e2e78042,"The artifact implies a drop in global life expectancy from 45 years around 1821 (two hundred years ago) to 32 years in 1900, which contradicts historical trends (life expectancy generally rose during the 19th century) and the overall theme of a “long climb.” Additionally, the 45-year figure for 1821 is likely a factual error (historical estimates place global life expectancy around 28–30 years in the early 1800s).",A long climb,"The global figure two hundred years ago is said to be 'less than half of today's' (today's is just over 70), yet it is then given as 'around 45 years', which is well over half of 70.",A long climb:5-6,,
rb301b08a48,"The reported percentage (75%) does not match the fraction 180/200, which is 90%.",Results,"The reported percentage (75%) does not match the fraction 180/200, which is 90%.",Results,,
r9f80ce1875,The stated decline of 0.7 percentage points in the deficit-to-GDP ratio is incorrect; the actual difference between 6.3% and 5.9% is 0.4 percentage points.,Relative to the economy,The stated decline of 0.7 percentage points in the deficit-to-GDP ratio is incorrect; the actual difference between 6.3% and 5.9% is 0.4 percentage points.,Relative to the economy,,
r27936cab09,"The text incorrectly states that the increase from ~1 billion to >8 billion is a 'fourfold increase', but it is actually an eightfold increase.",From one billion to eight,"The rise from about 1 billion (1800) to more than 8 billion (today) is called 'a fourfold increase', but 8 divided by 1 is an eightfold increase.",From one billion to eight:4-5,,
r07e8dd822d,Potential missing `envsubst` binary in nginx image,web.command:6,Missing envsubst tool in the nginx image causes command to fail.,web:12,,
raf49a23030,"DB command is a string, causing container startup failure",services.db.command,"backend.depends_on names `database`, but no service by that name is defined (the database service is named `db`).",services.backend.depends_on:30-30,,
r23fbcf7c12,The ordering of the range 'between one half and one-quarter' is non-standard and may cause confusion.,Who dies:8-9,"The range 'between one half and one-quarter' is reversed from conventional ordering, causing ambiguity.",Who dies,,
ra3e7ac970f,"Stale utilization value: The utilization method (line 23) returns len(self._events) / self.max_events without pruning outdated events, so it may include events that are outside the current sliding window if no new request triggers a cleanup.",src/window.py:23-23,"Stale utilization value: The utilization method (line 23) returns len(self._events) / self.max_events without pruning outdated events, so it may include events that are outside the current sliding window if no new request triggers a cleanup.",src/window.py:23-23,,
rb1a3913f51,Docstring examples are contradictory to the actual algorithm (lines 11–14).,src/search.py:11-14,Docstring examples are contradictory to the actual algorithm (lines 11–14).,src/search.py:11-14,,
rafaa2b83ac,"No handling of an empty iterable (line 26): if iterable is empty, len(seq) is 0 and divmod(n, 0) raises a ZeroDivisionError; the function should either reject an empty iterable or return n empty generators.",src/partition.py:26-26,"No handling of an empty iterable (line 26): if iterable is empty, len(seq) is 0 and divmod(n, 0) raises a ZeroDivisionError; the function should either reject an empty iterable or return n empty generators.",src/partition.py:26-26,,
r657e479de7,"Missing service targetPort leads to port mismatch: service port is 80 with no targetPort, defaulting to 80, but container listens on 8080.",Service spec.ports,"The container listens on `containerPort: 8080`, but the Service exposes port 80 with no targetPort (so it routes to pod port 80); the container port and the Service's target port do not match.",Deployment.spec.template.spec.containers.ports:19-19,,
rf944d501fa,"The percentages given (64% with safe water and 46% without) sum to 110%, which is impossible because the two groups are complementary and must total 100%.",The global picture,"The share without safe water is given as 'one in four, roughly 46%', but one in four is 25%, not 46%.",The global picture:5-5,,
rc8a85f2bc9,"The statement that 'over 60% of US adults were overweight or obese, leaving over 40% at a healthy weight or below' is inconsistent because if the first group exceeds 60%, the complement must be less than 40%, not over 40%.",A growing share,"The statement that 'over 60% of US adults were overweight or obese, leaving over 40% at a healthy weight or below' is inconsistent because if the first group exceeds 60%, the complement must be less than 40%, not over 40%.",A growing share,,
r7a3f7d80f4,The referenced ConfigMap key `SPECIAL_MODE` does not exist in the defined ConfigMap (`special-config`); the ConfigMap has keys `SPECIAL_LEVEL` and `SPECIAL_TYPE`.,Pod spec: env[0].valueFrom.configMapKeyRef.key,"The Pod references key SPECIAL_MODE from the ConfigMap, but the defined ConfigMap special-config has keys SPECIAL_LEVEL and SPECIAL_TYPE.","Pod spec, configMapKeyRef.key: SPECIAL_MODE",,
rac734071b2,"Kibana is placed on network elk (even if it were defined), while Elasticsearch and Logstash are on network elastic. They cannot communicate across different networks unless explicitly linked.",networks,"kibana.networks references `elk`, which is not declared under the top-level `networks` key (only `elastic` exists).",services.kibana.networks:45-45,,
r28a49836af,"Nginx configuration file mounted to /tmp/default.conf, which nginx does not read by default",services.nginx-proxy.volumes:6-6,"nginx-proxy.depends_on names service `flask`, but the application service is named `flask-app`; there is no service `flask`.",services.nginx-proxy.depends_on:12-12,,
raff8592f32,"The text incorrectly states a fourfold increase from 1 billion to more than 8 billion, which would require an eightfold increase.",From one billion to eight,"The rise from about 1 billion (1800) to more than 8 billion (today) is called 'a fourfold increase', but 8 divided by 1 is an eightfold increase.",From one billion to eight:4-5,,
re85c4ab1c9,"Constructor arguments swapped in `from_config` factory method (lines 25–27): passed `cfg[""window_seconds""]` as first argument and `cfg[""max_events""]` as second, but `__init__` expects `(max_events, window_seconds)`, completely inverting the intended configuration.",src/window.py:27-27,"`from_config` passes constructor arguments in the wrong order, swapping `max_events` and `window_seconds`.",src/window.py:27-27,,
r9175917ee5,The percentages for poverty lines (66% for less than $5 per day and 52% for less than $10 per day) are logically impossible because the set of people living on less than $10 per day must be at least as large as those living on less than $5 per day.,Higher poverty lines,The percentages for poverty lines (66% for less than $5 per day and 52% for less than $10 per day) are logically impossible because the set of people living on less than $10 per day must be at least as large as those living on less than $5 per day.,Higher poverty lines,,
r898e038b72,"Zero input is mishandled: the while loop condition 'while decimal > 0' skips when decimal == 0, leaving hexadecimal as an empty string, outputting '0x' instead of '0x0'.",src/dec2hex.py:25-25,"For negative inputs the value is multiplied by 1 (`decimal *= 1`) rather than -1, so it is never made positive and the while loop produces no digits.",src/dec2hex.py:24-24,,
r249b144581,Port conflict on host port 80 between backend and frontend.,services.backend.ports / services.frontend.ports,"frontend publishes host port 80 (`80:3000`), colliding with backend's host port 80 (`80:80`); two services cannot bind the same host port.",services.frontend.ports:52-52,,
r2d7bff7059,"The text states the top 1% alone accounted for ""more than 60% of the total,"" while earlier stating the top 5% accounted for ""almost half"" (≈50%); if the top 1% already exceeds 60%, the top 5% cannot be almost half.",A concentrated cost,"The text states the top 1% account for more than 60% of total spending while the top 5% account for almost half (≈50%), which is impossible because the top 1% is a subset of the top 5% so the top 5% share must be at least as large.",A concentrated cost,,
rf241705681,"The Elasticsearch health check uses curl, which may not be installed in the elasticsearch:7.16.1 image.",elasticsearch:12-12,"logstash.depends_on names service `search`, but no such service is defined (the search engine service is named `elasticsearch`).",services.logstash.depends_on:33-33,,
r415a2bd617,The claim that RAG-Sum will generalize to any clinical documentation task based on a single 200-note test set is an overstatement unsupported by evidence.,Discussion,The Discussion claims RAG-Sum 'will generalize to any clinical documentation task' from a single 200-note test set - an unsupported over-generalization.,Discussion:22-23,,
r2a6d2240a9,Non-subtractive branch subtracts instead of adding the numeral's value.,src/roman.py:24-24,"In the non-subtractive branch the running total is decremented (`total -= ...`) instead of incremented, so ordinary numerals accumulate negatively.",src/roman.py:24-24,,
r5b36332467,"The fraction 'one in four' (25%) contradicts the stated percentage 46%, and the total exceeds 100%.",## The global picture:6-7,"The fraction 'one in four' (25%) contradicts the stated percentage 46%, and the total exceeds 100%.",## The global picture:6-7,,
raba9788ba8,"The phrase 'between one half and one-quarter' reverses the natural ascending order, using unconventional and confusing wording.",Who dies,"The phrase 'between one half and one-quarter' reverses the natural ascending order, using unconventional and confusing wording.",Who dies,,
r0a20d4ab86,Inconsistent database name between backend and database services.,services.backend.environment.POSTGRES_DB and services.db.environment.POSTGRES_DB:5-17,Inconsistent database names between services.,"services.backend.environment, services.db.environment:5-17",,
r5ed1459c6b,"In ""The global picture"", the phrase ""just over half"" contradicts the given value of 74%. Half is 50%, so 74% is nearly three-quarters, not just over half.",The global picture,"The text describes 74% as 'just over half', but 74% is nearly three-quarters, not just over half.",The global picture,,
r7d8c4cfd8d,"The artifact gives two different 2021 life expectancy values—61 years and just over 70 years—without clarification, creating internal inconsistency.",Longer lives:2-4,"Global 2021 life expectancy (just over 70) is said to be 'more than twice' the value two centuries earlier, given as 'less than 45'; but twice 45 is 90, which exceeds 70, so 70 is not more than twice 45.",Longer lives:6-7,,
rb63d8641e9,"The health check curls localhost:8000, but inside the container the Gunicorn process listens on port 5000.",services.flask-app.healthcheck.test,"The flask-app runs gunicorn bound to 0.0.0.0:5000, but the service publishes port 8000 and its healthcheck probes 8000, so nothing is actually served on the exposed port.",services.flask-app.command:29-29,,
rf2b8a5b6f6,"Minus sign followed by a space (or other non‑digit character) is not rejected; input like ""- 101"" is treated as valid.",src/bin2dec.py:17-20,"When stripping the leading '-', the slice `bin_string[2:]` removes two characters instead of one, dropping the first binary digit of negative inputs.",src/bin2dec.py:19-19,,
r93380bdf75,"The text claims 'about four in five' are without safe sanitation, but if 40% use safe sanitation, then 60% (three in five) are without, not 80%.",The poorest countries,"The poorest-country coverage is given as 'one in five — roughly 40%', but one in five is 20%, not 40%.",The poorest countries:9-9,,
r1b0d609b67,"Division by zero in `utilization()` when `max_events` is zero, causing a `ZeroDivisionError`.",src/window.py:23-23,"Division by zero in `utilization()` when `max_events` is zero, causing a `ZeroDivisionError`.",src/window.py:23-23,,
r986e1a52ab,"The artifact states 'more than a 20-fold increase' from 2 million to 450 million tonnes, but the actual increase is 225-fold, which understates the magnitude by a factor of over 10.",A surge in production,The claim of 'more than a 20-fold increase' from 2 million tonnes to over 450 million tonnes is arithmetically incorrect; the actual increase is about 225-fold.,A surge in production,,
r08fb005e84,"Line 32 will raise a ZeroDivisionError if number is 0, requiring input validation.",src/to_roman.py:32-32,"The loop breaks when the remaining number is non-zero (`if number != 0`), so it stops after the first iteration; it should break once the number has been fully converted (`if number == 0`).",src/to_roman.py:34-34,,
r217db794ec,"The units in the France example are inconsistent: '58 more years' clearly refers to remaining life expectancy at age 15, while '83 years' could be total or remaining life expectancy, and under no consistent interpretation does the claimed increase of 35 years hold.",Not only about infants:11-12,"French 15-year-olds' life expectancy is said to rise from 58 to 83, 'an increase of 35 years', but 83 - 58 = 25 years.",Not only about infants:11-12,,
r5db37ea12f,"The vaccination coverage percentages are inconsistent: 'over 80%' covered implies less than 20% not covered, but the text says the remaining is 'nearly one in five — around 40%', which is a mathematical contradiction.",Coverage today,"The uncovered share is given as 'nearly one in five — around 40%', but one in five is 20%, not 40% (and 80% coverage leaves 20% uncovered).",Coverage today:5-5,,
r246eba41eb,The claimed reduction of more than 2.5 billion people living below $3 per day since 1990 is arithmetically impossible because the starting figure is 2.3 billion.,Extreme poverty,The claimed reduction of more than 2.5 billion people living below $3 per day since 1990 is arithmetically impossible because the starting figure is 2.3 billion.,Extreme poverty,,
r90759c69a5,Network isolation prevents frontend from reaching backend.,services.frontend.networks / services.backend.networks,"frontend.networks references `frontend-net`, which is not declared under the top-level `networks` key (only `public` and `private` exist).",services.frontend.networks:57-57,,
r323a344c9f,The reported percentages for diagnosis accuracy are arithmetically incorrect.,Results,"The Results section labels 180 of 200 as 75%, but 180/200 is 90%.",Results:16-17,,
r8347ef6d89,Missing input validation for the valid Roman numeral range (1–3999).,src/to_roman.py:20-36,"Each symbol is repeated `factor + 1` times instead of `factor`, appending one extra copy of every Roman symbol.",src/to_roman.py:33-33,,
r2f9caa9f79,"There is an implied inconsistency between Russia's and Brazil's forest areas: both are said to have 'over 800 million hectares', but Russia is also said to have two-fifths of the total, which would require 1.6 billion hectares, creating a contradiction.",Where the forests are:11-13,"There is an implied inconsistency between Russia's and Brazil's forest areas: both are said to have 'over 800 million hectares', but Russia is also said to have two-fifths of the total, which would require 1.6 billion hectares, creating a contradiction.",Where the forests are:11-13,,
r323772fd1e,No shared network between backend and database services.,"services.backend.networks, services.db.networks:8-17","The backend expects POSTGRES_DB=appdb, but the db service creates the database `example` (POSTGRES_DB=example), so the app targets a database that does not exist.",services.backend.environment:7-7,,
